,T,phi,replicate_id,err_mu_hat,phi_hat,Dt,boot_mean_Dt,boot_sig_Dt
0,1200.0,0.0,0.0,3.0185038723131347e-05,0.0,0.03568619361027512,0.03560618182126198,0.0007137874403859525
1,1200.0,0.0,1.0,2.1167405231827785e-05,0.0,0.03739660204302418,0.0358415921289088,0.0007683665015096964
2,1200.0,0.0,2.0,3.289473822868511e-05,0.0,0.03523920205506409,0.03533448951495538,0.0007139598112000135
3,1200.0,0.0,3.0,1.1503825769183635e-05,0.0,0.03621931877888011,0.03582845589310747,0.000755084350157293
4,1200.0,0.0,4.0,1.0767814432588583e-05,0.0,0.0372344694057328,0.037446154713378706,0.0007919898424050674
5,1200.0,0.0,5.0,1.4218432927772133e-05,0.0,0.036615137030945134,0.03624508717773964,0.0007569072804462786
6,1200.0,0.0,6.0,4.509735229184993e-06,0.0,0.03616853974334177,0.03625570469916083,0.0007477441978735803
7,1200.0,0.0,7.0,1.5664618188555997e-05,0.0,0.036045445894875676,0.035813907151167355,0.0007229845263257273
8,1200.0,0.0,8.0,1.3575410546034805e-05,0.0,0.03671304947399421,0.037019927549076036,0.0007617336803879775
9,1200.0,0.0,9.0,6.991944225556945e-06,0.02564102564102564,0.03423681262295356,0.035319832425919725,0.0007271923908828546
10,1200.0,0.0,10.0,1.0561355344173328e-05,0.0,0.03432099401634436,0.03474386080529075,0.000741548477288953
11,1200.0,0.0,11.0,6.4501421548796315e-06,0.0,0.03550605962760728,0.03529937703097596,0.0007178892439094021
12,1200.0,0.0,12.0,5.288365810446821e-06,0.0,0.03702473706276975,0.03619050388950767,0.0007714907778480763
13,1200.0,0.0,13.0,5.675757271235607e-06,0.0,0.03635278951419866,0.03677197296847246,0.0008000831117672367
14,1200.0,0.0,14.0,4.632622050102351e-06,0.02564102564102564,0.03437749621081537,0.034866089655523395,0.0007025311134232237
15,1200.0,0.0,15.0,7.364737958237502e-06,0.0,0.036555310509250094,0.03570782235701913,0.0007217709675622108
16,1200.0,0.0,16.0,8.001656093843425e-06,0.02564102564102564,0.03688672159889204,0.03753278054208748,0.000806220030473335
17,1200.0,0.0,17.0,1.2240894833664653e-05,0.0,0.03543005945291174,0.035784071269145755,0.0007468485609349625
18,1200.0,0.0,18.0,1.5214080112464435e-05,0.0,0.03686888164772199,0.03580380264155835,0.0007694499068979327
19,1200.0,0.0,19.0,5.802184358308269e-06,0.0,0.03628309219403648,0.03654365701194504,0.0008069714145812021
20,1200.0,0.0,20.0,9.814753986183067e-06,0.0,0.03937103378184371,0.03889406740606946,0.0008060400335681356
21,1200.0,0.0,21.0,1.774842653508961e-05,0.0,0.03710376902520283,0.03641640984504966,0.0007505883292748745
22,1200.0,0.0,22.0,1.5339118969043426e-06,0.02564102564102564,0.035068166546959954,0.03561930180871255,0.00073538917806484
23,1200.0,0.0,23.0,1.3398139807686822e-05,0.0,0.03546611712210978,0.035882252969814975,0.0007612644170084787
24,1200.0,0.0,24.0,2.9957295129762796e-05,0.0,0.03696935578556217,0.03620505624672006,0.0007637732147161078
25,1200.0,0.0,25.0,7.517213661995965e-06,0.0,0.03526127433022512,0.03518091181399643,0.0007713051389049664
26,1200.0,0.0,26.0,2.082096179178281e-05,0.0,0.03375804335100327,0.034140421963898486,0.0006809710846634915
