,T,phi,replicate_id,err_mu_hat,phi_hat,Dt,boot_mean_Dt,boot_sig_Dt
507,500.0,0.8,7.0,0.00026111945678172386,0.7948717948717948,0.016964788785138938,0.0798341124908207,0.002485856779909922
508,500.0,0.8,8.0,0.00047482692857750067,0.7948717948717948,0.015722814294075276,0.07769587020257247,0.0025408871983875836
509,500.0,0.8,9.0,0.0007103367763653994,0.8205128205128205,0.017141967030099764,0.09077643653827988,0.0029084282909694883
510,500.0,0.8,10.0,9.100386548234071e-05,0.7692307692307692,0.01696696126162621,0.0772735979378013,0.0024234313614230054
511,500.0,0.8,11.0,0.0017392506702326358,0.7948717948717948,0.016901084927133155,0.08099502657993923,0.0027296899428298337
512,500.0,0.8,12.0,0.00027745118803653866,0.8205128205128205,0.01635071265804343,0.08989928008386014,0.0029926281592883666
513,500.0,0.8,13.0,0.000778498268038622,0.7692307692307692,0.01594135807005428,0.07108773906149163,0.0022434978895357794
514,500.0,0.8,14.0,0.0003500589817878061,0.7948717948717948,0.01758970821548112,0.08453863213031426,0.0028010261633239207
515,500.0,0.8,15.0,0.0016457119529553594,0.7692307692307692,0.01667288810107125,0.06852400938314039,0.00206937692150731
516,500.0,0.8,16.0,0.0012253202382752672,0.7948717948717948,0.017283618200673506,0.08549891693581235,0.0027718077852162165
517,500.0,0.8,17.0,0.00034324729151893446,0.7948717948717948,0.016666587309026964,0.08397197256633493,0.0025770803946247624
518,500.0,0.8,18.0,0.0001481998065639698,0.7948717948717948,0.01547621370578847,0.07189699144060847,0.002352734452171877
519,500.0,0.8,19.0,0.0005272027646669293,0.7948717948717948,0.017413382230481597,0.08763227847475005,0.0027550137509173823
520,500.0,0.8,20.0,0.001410858455903353,0.7948717948717948,0.016817619631675332,0.07913276250103304,0.0024011052798838346
521,500.0,0.8,21.0,0.00408903964114047,0.7435897435897436,0.01787913484338527,0.07238400655170137,0.0023566973295251273
522,500.0,0.8,22.0,0.0004012312610819032,0.8205128205128205,0.015784022720428767,0.08306447335019887,0.0025334278106639405
523,500.0,0.8,23.0,0.0003611861179318224,0.7692307692307692,0.016396977405386624,0.07267450237552231,0.002190536419724289
524,500.0,0.8,24.0,0.0012886573362596225,0.7948717948717948,0.016220975588059378,0.08265084886264981,0.00278588151633304
525,500.0,0.8,25.0,0.001942645428896753,0.7948717948717948,0.016921624484186507,0.08146080461584179,0.002599537364609008
526,500.0,0.8,26.0,0.0008115787926433709,0.7948717948717948,0.016378789663736463,0.07784074415233562,0.002477782447992511
527,500.0,0.8,27.0,0.001562195707510247,0.717948717948718,0.016103667040256085,0.05807524775187565,0.0017294434092277702
528,500.0,0.8,28.0,0.0003092625888488131,0.7692307692307692,0.01788747259904506,0.0766940885717795,0.0024594703659548468
529,500.0,0.8,29.0,0.0003396124502514248,0.7692307692307692,0.016848999616874003,0.07488243853464943,0.0022958527869094887
530,500.0,0.8,30.0,0.002697880070320833,0.8205128205128205,0.01699544292291511,0.08974823996987165,0.00299285321408273
531,500.0,0.8,31.0,0.00045111261371922647,0.8205128205128205,0.017838433052674782,0.09296894850054374,0.0031976885703187026
532,500.0,0.8,32.0,0.0002254337762941318,0.7948717948717948,0.016395280221699234,0.07664900585960871,0.0021957171414313404
533,500.0,0.8,33.0,0.0004378957867672549,0.8461538461538461,0.015937774077045976,0.09532829566961869,0.003317638500931065
534,500.0,0.8,34.0,0.0008126034983618957,0.8205128205128205,0.01719171263604766,0.09165899065642795,0.003055861021734981
535,500.0,0.8,35.0,0.00044441457891990184,0.7948717948717948,0.01738090995583088,0.0864275133472039,0.002982561791754776
536,500.0,0.8,36.0,0.00144514646407951,0.7948717948717948,0.016896234356539187,0.08697360443954534,0.002734339845931131
537,500.0,0.8,37.0,0.0008258489098878486,0.7948717948717948,0.017369786976939586,0.08589280585702234,0.0028069404379794513
538,500.0,0.8,38.0,0.0003609207833192863,0.7692307692307692,0.01756431109154431,0.0735287507067076,0.00228192140462123
539,500.0,0.8,39.0,0.0005065684619547259,0.7692307692307692,0.015853114757954995,0.07047288860620844,0.002279446727817214
540,500.0,0.8,40.0,0.0004948973210236714,0.7692307692307692,0.01646131557871084,0.07397329203961651,0.002162484026496367
541,500.0,0.8,41.0,0.0013964148318695254,0.7948717948717948,0.01639832669900304,0.07912043969027653,0.002567067325582504
542,500.0,0.8,42.0,0.0004978659743109957,0.8461538461538461,0.014693634496634375,0.09361022976591928,0.003141141064008667
543,500.0,0.8,43.0,0.00031402552361811767,0.7435897435897436,0.01633530818644156,0.06571136099966804,0.0019369788818837906
544,500.0,0.8,44.0,0.0004522414564534486,0.7948717948717948,0.016810002753348107,0.08442089851237072,0.002696018094188025
545,500.0,0.8,45.0,0.00016464330269604275,0.7948717948717948,0.015782016256957954,0.08102100742369692,0.0025604062202452637
546,500.0,0.8,46.0,0.0010100257656387988,0.7948717948717948,0.0154212619923243,0.07685090404399116,0.0023562108410250544
547,500.0,0.8,47.0,0.0018242356273923122,0.7692307692307692,0.01742533699270892,0.07570199324982178,0.002458211074910164
548,500.0,0.8,48.0,0.00043561261577829813,0.7948717948717948,0.017176033766498948,0.08248262200872196,0.0026889494137026754
549,500.0,0.8,49.0,0.0016325486951395257,0.8205128205128205,0.0166487036255056,0.08830883283922038,0.0028190773366824112
550,500.0,0.8,50.0,0.0004360005657183958,0.7948717948717948,0.017072733144116645,0.08024972829533707,0.0025432745466142433
551,500.0,0.8,51.0,0.0014620759989648427,0.8205128205128205,0.017954282326640366,0.09403219313563302,0.003063913282268623
552,500.0,0.8,52.0,0.00025399772520360507,0.7948717948717948,0.016549793839800882,0.07927818285680505,0.002524457504267251
553,500.0,0.8,53.0,0.00017892855560717604,0.7948717948717948,0.01661553411063259,0.08469741751229247,0.0027520591534677657
554,500.0,0.8,54.0,0.0003308183964581957,0.8205128205128205,0.015001172921684002,0.08279534463249123,0.0029038598521512393
555,500.0,0.8,55.0,0.0009450876091054354,0.8205128205128205,0.01551083955962135,0.08099782016225937,0.0025390822183352325
556,500.0,0.8,56.0,0.0008495324617525508,0.8205128205128205,0.016880002162814142,0.087637615544894,0.0031167743133458147
557,500.0,0.8,57.0,0.0005778076209756515,0.7948717948717948,0.01523475590449813,0.07854887913374103,0.002417999009641781
558,500.0,0.8,58.0,0.0011593670377834885,0.7948717948717948,0.016423069761251574,0.07942862521104452,0.0025699764123139164
